level,province_nesdc_en,type,sector,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Provincial,KHON KAEN,Chain Volume Measures,"Electricity, gas, steam and air conditioning supply",1123.307468,1022.913505,1100.275721,1140.339732,1106.755679,1169.737418,1186.421669,1193.788959,1171.768853,1248.235178,1352.826682,1391.410371,1518.650152,1690.627127,1856.597469,2016.553968,2093.36352,2450.198345,2371.344119,2484.431688,2512.981055,2619.040609,2619.831577,3141.059511,3340.48629,3135.837209
Provincial,KHON KAEN,Chain Volume Measures,"Water supply; sewerage, waste management and remediation activities",274.400449,299.247919,311.296387,307.757219,281.622752,311.767761,305.21673,277.597447,282.476383,279.538586,317.427473,335.525383,344.251237,341.245268,347.805209,377.819722,355.728889,396.044678,370.219135,349.868535,402.080349,417.810169,432.36608,425.083897,436.149947,469.756349
Provincial,KHON KAEN,Chain Volume Measures,Services,37307.62588,41835.49041,41361.038,35724.86449,37459.26151,36741.6968,37967.7453,40137.01361,42093.64767,43559.74682,43957.04305,44949.23685,47233.19788,47345.07379,53165.16152,54228.47088,56383.49457,63006.3322,61318.22721,58555.53234,62580.87785,65460.62108,67714.59696,69658.51682,72121.80762,73556.69823
Provincial,KHON KAEN,Chain Volume Measures,Construction,8396.178402,8837.024408,7045.033077,3988.494146,5069.082711,3855.009422,4801.378681,4860.922503,4943.844834,4590.589395,4710.010303,4565.755574,5402.245916,4283.848269,6712.035241,6151.277714,5671.220736,7057.494781,5670.440121,5118.092184,5465.179405,5246.970309,4956.433068,4971.811374,4993.223884,5340.65584
Provincial,KHON KAEN,Chain Volume Measures,Wholesale and retail trade and repair of motor vehicles and motorcycle,8512.893957,10260.52655,9682.003894,6961.219491,7266.515564,7024.292165,7010.508168,7708.437838,8488.129598,8720.205378,8537.809709,9625.318972,10168.31783,9681.573918,10427.72041,11045.93789,11235.82138,12475.95471,12533.77686,12502.36983,13493.78208,15161.40479,15592.47366,16217.45052,16452.65701,17567.80803
Provincial,KHON KAEN,Chain Volume Measures,Transportation and storage,1729.54374,1718.507594,2234.308972,2313.22115,2440.488918,2398.340686,2422.573082,2414.900965,2287.900913,2439.334475,1801.255142,1918.018477,2325.934299,2391.452374,2513.218346,2318.918215,2763.677747,2700.815266,2755.532261,2758.682862,2740.300732,2805.222737,2703.354752,2846.889148,2978.31342,2682.222968
Provincial,KHON KAEN,Chain Volume Measures,Accommodation and food service activities,879.017118,1110.203948,1212.807422,945.513318,1036.154291,1130.624119,1086.069998,1106.720766,1152.803866,1324.632236,1513.847445,1351.804744,1274.071599,1362.024491,1554.951973,1802.3651,2111.074731,2124.685437,2213.478353,2306.503069,2424.436917,2794.946344,3095.732342,3334.879239,3700.592227,3276.000665
Provincial,KHON KAEN,Chain Volume Measures,Information and communication,549.881252,605.944143,717.490279,674.204281,713.477943,734.382789,998.71988,1172.183319,1311.8495,1329.802484,1418.762946,1278.874999,1247.039637,1378.351492,1364.484013,1393.886192,1545.837734,1542.803713,1489.377848,1496.735736,1697.127098,1540.344168,1621.943342,2147.391312,2797.637303,2565.393478
Provincial,KHON KAEN,Chain Volume Measures,Financial and insurance activities,3852.682396,4067.728687,3747.673936,3201.994141,2394.427821,2382.239785,2369.169949,2532.66841,2650.117007,2849.069432,3027.747517,3376.081511,3628.418635,3487.115746,3986.171522,4122.438934,4339.478562,5034.913572,5856.842756,6406.894393,6803.39817,7554.047149,7957.471772,8256.104681,8668.750978,9143.81281
Provincial,KHON KAEN,Chain Volume Measures,Real estate activities,2226.69904,2542.060317,2959.988577,3476.499988,4045.755598,4068.556421,3951.209733,4491.86135,4751.253406,4971.675601,4850.731829,5009.142126,5317.999548,7599.201531,8832.9191,8089.634228,8263.227465,8427.08648,7482.446376,5750.65743,6237.939805,6679.585227,7408.390136,8293.981937,9198.904509,9540.66769
